t,E,N,Q,C,iN,dP,P,blocked,dynamic_threshold,ethic_memory,novelty_pressure,P_ETOmega,dETOmega
34,1.315366510042753,0.07492614904871532,0.6108866029686779,0.4965252108802142,0.1453315078165771,2.3523729651237835,87.5073504980927,0,1.0,0.0,0.5636354314236577,47.31977409290082,1.5922036181749513
35,1.3111956961478142,0.21634995055754822,0.683132352035123,0.46295424134647783,0.14553799221156785,2.528094247875395,90.0354447459681,0,1.0,0.0,0.7628558321856467,49.38975436110394,2.06998026820312
36,1.3025163127228296,0.19339886428752484,0.427423522678668,0.4581044499819443,0.14574467597715676,2.23569847369381,92.27114321966192,0,1.0,0.0,0.5353376824304592,50.677533643021256,1.2877792819173195
37,1.3285684767330719,0.07711888091949963,0.6626480960750234,0.4275335158346675,0.1459515590996206,2.3499174104626417,94.62106063012456,0,1.0,0.0,0.6072373577795184,52.84649896528345,2.1689653222621947
38,1.3367402059873095,0.1236322037004983,0.5217999601182477,0.4415834795672654,0.1461586415648397,2.277597207808481,96.89865783793304,0,1.0,0.0,0.5410721717950965,54.468181077381686,1.6216821120982363
39,1.283414564164929,0.18036026755866402,0.7933388980898695,0.37102752067989986,0.14636592335829812,2.481775327135064,99.38043316506811,0,1.0,0.0,0.8150313860305596,55.66826888350433,1.2000878061226452
40,1.3054725551493338,0.09183385755640502,0.5625144527338187,0.45134362454751675,0.1465734044650836,2.2645910855219906,101.6450242505901,0,1.0,0.0,0.54184541974346,57.304088267493434,1.6358193839891002
41,1.2636027259163203,0.07905543004398825,0.837951732392193,0.41240550021927863,0.14678108486988778,2.446234303701892,104.09125855429198,0,1.0,0.0,0.7494168159577428,59.04239913183261,1.7383108643391783
42,1.3074037648982149,0.05813917407298724,0.696885241541976,0.43682397303010617,0.14698896455700636,2.3522631889862784,106.44352174327827,0,1.0,0.0,0.6156473673065681,60.86462814369798,1.8222290118653695
43,1.3017123227976044,0.07454509614114682,1.1867540096679292,0.41342583832839996,0.1711453473858293,2.805291919549251,109.24881366282752,0,1.0,0.0,1.0239483038754902,62.78171522051418,1.917087076816204
44,1.271767376114421,0.1134371257564296,0.6006689152036304,0.49616807769290106,0.1474053217133901,2.3346361730539917,111.58344983588151,0,1.0,0.0,0.593972257919334,64.40664836501635,1.6249331445021724
45,1.3094836406556396,0.07794448578549229,0.7802737459747687,0.41550916146512384,0.1476137991492678,2.4355972347317567,114.01904707061327,0,1.0,0.0,0.7021634825653074,65.96078512463339,1.554136759617033
46,1.3654958238513415,0.06866108990612832,1.0438932006390709,0.4359191177279123,0.1478224758006852,2.766146756323768,116.78519382693703,0,1.0,0.0,0.9037756504173851,67.61255895276868,1.651773828135297
47,1.3176735683900047,0.05233792680697226,0.7518986076811572,0.4553139321715552,0.14803135164995995,2.4291926833997297,119.21438651033677,0,1.0,0.0,0.6538568129518981,69.84226676229065,2.229707809521965
48,1.3227220020155177,0.06116430522885609,0.8360099073370322,0.4371323532388076,0.14824042667901452,2.508788141141199,121.72317465147796,0,1.0,0.0,0.7299722310984819,71.95860436969852,2.116337607407871
49,1.335676701035254,0.09110164588017261,1.6157102561162624,0.4442631357043036,0.532119551642559,2.954632187093434,124.6778068385714,0,1.0,0.0,1.3836698507731826,73.90706900693165,1.9484646372331307
50,1.2948514380921583,0.14999653359231752,1.1993609396761955,0.5240449366332451,0.25814445953545184,2.910109388458465,127.58791622702987,0,1.0,0.0,1.109485285333274,75.99475212336013,2.0876831164284764
