iter,E_before,N,I,risk,iN,P_lem,accepted_lem,E_after,E_raw
21,1.2,0.08973016684813769,0.865166086366975,0.13483391363302497,0.012098669567078718,1.277631497281059,1,1.2,1.2
22,1.2,0.033379611708452224,0.9483363997965213,0.051663600203478655,0.0017245109142528326,1.2316551007941994,1,1.2,1.2
23,1.2,0.06466743236562912,0.9114646513247944,0.0885353486752056,0.005725353672421251,1.2589420786932077,1,1.2,1.2
24,1.2,0.09485715111792759,0.8749916412197528,0.12500835878024721,0.011857936779822017,1.2829992143381055,1,1.2,1.2
25,1.2,0.0871565425228758,0.8920331954981044,0.10796680450189552,0.009410013387628478,1.2777465291352472,1,1.2,1.2
26,1.2,0.07156477594759936,0.8825578575709537,0.11744214242904624,0.008404720609740748,1.2631600553378584,1,1.2,1.2
27,1.2,0.0017137672057733408,1.0,0.0,0.0,1.2017137672057734,1,1.2,1.2
28,1.2,0.04118509382828818,0.9825217798182213,0.017478220181778713,0.0007198421381380356,1.2404652516901502,1,1.2,1.2
29,1.2,0.04899430995093265,0.8664597624971611,0.13354023750283897,0.006542711787135252,1.2424515981637974,1,1.2,1.2
30,1.2,0.025366755372270268,0.9211459758237016,0.07885402417629836,0.002000270741399247,1.223366484630871,1,1.2,1.2
31,1.2,0.0,1.0,0.0,0.0,1.2,0,1.2,1.2
32,1.2,0.06651012260420022,0.8908767363069958,0.10912326369300418,0.007257801647192179,1.259252320957008,1,1.2,1.2
33,1.2,0.0884490631917142,0.8541937624099467,0.1458062375900533,0.012896425122348718,1.2755526380693654,1,1.2,1.2
34,1.2,0.0460509971100625,0.9678563931011533,0.032143606898846634,0.0014802451484057723,1.2445707519616567,1,1.2,1.2
35,1.2,0.09431903525028615,0.8963823739437373,0.10361762605626262,0.009773114524551608,1.2845459207257344,1,1.2,1.2
36,1.2,0.008972547066483122,1.0,0.0,0.0,1.2089725470664832,1,1.2,1.2
37,1.2,0.023221908559935542,0.9472756725253891,0.05272432747461085,0.0012243595114995107,1.2219975490484358,1,1.2,1.2
38,1.2,0.0656970294428226,0.8866392969652245,0.11336070303477554,0.007447461444934717,1.2582495679978878,1,1.2,1.2
39,1.2,0.042909894146538625,0.940581142470318,0.05941885752968206,0.0025496568869069146,1.2403602372596316,1,1.2,1.2
40,1.2,0.08502361575869347,0.9134389880755798,0.08656101192442023,0.007359730217545588,1.2776638855411477,1,1.2,1.2
41,1.2,0.07827100950229646,0.9391710856505768,0.060828914349423176,0.004761140533058078,1.2735098689692383,1,1.2,1.2
42,1.2,0.045477846137397124,0.96451347933504,0.035486520664960094,0.0016138505267526168,1.2438639956106443,1,1.2,1.2
43,1.2,0.012166414176438413,0.9610516789489948,0.03894832105100519,0.00047386140538342443,1.211692552771055,1,1.2,1.2
44,1.2,0.04122390639189104,0.9499066063933463,0.050093393606653616,0.0020650453688928435,1.2391588610229982,1,1.2,1.2
45,1.2,0.07922986635623636,0.8825976015710192,0.11740239842898084,0.009301776337429762,1.2699280900188066,1,1.2,1.2
46,1.2,0.08661540435891145,0.9009857889947774,0.09901421100522256,0.008576155923495933,1.2780392484354153,1,1.2,1.2
47,1.2,0.043068067518233846,0.9523042295234393,0.047695770476560664,0.002054164663218701,1.2410139028550151,1,1.2,1.2
48,1.2,0.0,1.0,0.0,0.0,1.2,0,1.2,1.2
49,1.2,0.007092015505823904,1.0,0.0,0.0,1.2070920155058238,1,1.2,1.2
50,1.2,0.07599096906893746,0.9540847898852781,0.04591521011472191,0.003489141311621595,1.272501827757316,1,1.2,1.2
